RGIId,1976/1979-2000_percentDataCoverage,1976/1979-2000_volumeChange,1976/1979-2000_meanElevationChange,1976/1979-2000_geodeticMassBalance,1976/1979-2000_volumeChange_sigma,1976/1979-2000_meanElevationChange_sigma,1976/1979-2000_geodeticMassBalance_sigma,1976/1979-2000_timespan,1976/1979-2000_minYear,1976/1979-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.06074,43,-742011706.9,-1.475266765,-1.25397675,25727111.86,0.116299549,0.132692572,21-24,1976/1979,2000,92,-2140455950,-4.637568132,-3.941932912,11519485.44,0.329067163,0.394539469,20.72828326,2000.112254,2020.840537
RGI60-17.06097,93,-3650636.844,-1.018345012,-0.86559326,543574.8136,0.167859592,0.155212964,21-24,1976/1979,2000,93,-1521937.593,-0.484643418,-0.411946906,915687.9921,0.2936335,0.251276685,20.72828326,2000.112254,2020.840537
RGI60-17.15738,90,51817702.16,6.43182268,5.467049278,12339199.58,1.597690127,1.411803621,21-24,1976/1979,2000,80,-2881079.698,-0.355747423,-0.302385309,2046483.607,0.253942885,0.216904246,20.09582675,2000.112254,2020.208081
RGI60-17.15740,94,-7827571.757,-2.327418247,-1.97830551,2338895.095,0.714645176,0.623293118,21-24,1976/1979,2000,32,3680231.688,1.111556031,0.944822627,1906704.455,0.581230133,0.498526902,19.80768257,2000.112254,2019.919937
RGI60-17.15746,92,-1202573.607,-0.212325742,-0.18047688,1060301.945,0.187807409,0.160143821,21-24,1976/1979,2000,85,954552.0504,0.166518159,0.141540435,1359739.888,0.237493814,0.202116834,19.80768257,2000.112254,2019.919937
RGI60-17.15748,79,36117257.03,2.916525942,2.479047051,14857996.02,1.217401738,1.049483419,21-24,1976/1979,2000,89,-5346923.315,-0.429867639,-0.365387493,2423141.328,0.19716635,0.169564462,19.80768257,2000.112254,2019.919937
RGI60-17.15751,81,6504858.776,0.860630867,0.731536237,2380690.916,0.32080447,0.277530039,21-24,1976/1979,2000,85,-8691717.873,-1.19084697,-1.012219924,2134521.357,0.304334535,0.268370667,20.72828326,2000.112254,2020.840537
RGI60-17.15753,90,10539306.06,2.267409172,1.927297796,1814363.775,0.421983969,0.383619648,21-24,1976/1979,2000,94,-3801813.359,-0.825294906,-0.70150067,1266469.432,0.281050011,0.243970557,20.72828326,2000.112254,2020.840537
RGI60-17.15759,87,-1239659.597,-0.15781623,-0.134143795,2401167.625,0.305886911,0.26017624,21-24,1976/1979,2000,90,-4394099.253,-0.534413972,-0.454251876,1060252.698,0.134374725,0.118633989,20.13963326,2000.112254,2020.251887
RGI60-17.15762,90,-2247477.875,-0.43370605,-0.368650143,1530634.606,0.296961329,0.253754943,21-24,1976/1979,2000,91,-4857136.292,-0.915824207,-0.778450576,1186949.203,0.232982845,0.205517564,20.13963326,2000.112254,2020.251887
