RGIId,1976-2000_percentDataCoverage,1976-2000_volumeChange,1976-2000_meanElevationChange,1976-2000_geodeticMassBalance,1976-2000_volumeChange_sigma,1976-2000_meanElevationChange_sigma,1976-2000_geodeticMassBalance_sigma,1976-2000_timepsan,1976-2000_minYear,1976-2000_maxYear,2000-2020_percentDataCoverage,2000-2020_volumeChange,2000-2020_meanElevationChange,2000-2020_geodeticMassBalance,2000-2020_volumeChange_sigma,2000-2020_meanElevationChange_sigma,2000-2020_geodeticMassBalance_sigma,2000-2020_timepsan,2000-2020_minYear,2000-2020_maxYear
RGI60-17.15831,91,-60631508.43,-0.780110137,-0.663093617,4682887.103,0.08169181,0.08374067,24,1976,2000,94,-47988883.77,-0.628416131,-0.534153711,3694956.022,0.065702939,0.067384031,20.81589629,2000.112254,2020.92815
RGI60-17.15833,93,-9173013.842,-0.775205182,-0.658924405,1992692.679,0.177098022,0.157555308,24,1976,2000,96,-9596548.567,-0.828388532,-0.704130252,1541554.547,0.145391126,0.133203014,20.81589629,2000.112254,2020.92815
RGI60-17.15834,94,-6954804.947,-0.706093992,-0.600179893,952878.5444,0.108878379,0.101782733,24,1976,2000,96,-8058107.922,-0.825361248,-0.701557061,777364.2091,0.098725286,0.097439079,20.81589629,2000.112254,2020.92815
RGI60-17.15836,91,-31602673.17,-0.89555239,-0.761219532,3046555.532,0.107071114,0.105688941,24,1976,2000,96,-30655813.91,-0.889754414,-0.756291252,4255501.527,0.138636449,0.129369561,20.81589629,2000.112254,2020.92815
RGI60-17.15838,93,-310650.8812,-0.080033702,-0.068028647,1234943.488,0.31821169,0.27052256,24,1976,2000,95,-406856.4442,-0.105296072,-0.089501661,509934.8376,0.13218308,0.112533102,20.81589629,2000.112254,2020.92815
RGI60-17.15839,90,-2134866.861,-0.216148294,-0.18372605,1896049.616,0.192576306,0.164202809,24,1976,2000,95,-4192221.506,-0.403887102,-0.343304037,878444.9278,0.089320309,0.079695917,20.81589629,2000.112254,2020.92815
RGI60-17.15840,83,22171312.44,0.393774579,0.334708392,5844378.534,0.107469193,0.094354736,24,1976,2000,96,3763093.439,0.065508449,0.055682182,2796229.131,0.048897045,0.041747926,20.81589629,2000.112254,2020.92815
RGI60-17.15843,96,1670138.151,0.259723504,0.220764979,1132291.861,0.177038069,0.151287088,24,1976,2000,96,763327.13,0.119148861,0.101276532,1560008.312,0.243649714,0.207225607,20.81589629,2000.112254,2020.92815
RGI60-17.15844,77,-35179785.77,-0.723337144,-0.614836572,6570550.293,0.144457676,0.130233346,24,1976,2000,96,-29541408.67,-0.603706132,-0.513150212,2514877.835,0.06681044,0.067357524,20.81589629,2000.112254,2020.92815
RGI60-17.15854,73,-133473988.9,-2.152832688,-1.829907785,10979959.74,0.278765491,0.269871262,24,1976,2000,95,-151529530.8,-1.22905364,-1.044695594,4291761.826,0.093626019,0.10849597,20.81589629,2000.112254,2020.92815
RGI60-17.15855,90,-4355509.101,-0.919447108,-0.781530042,1012933.247,0.223500852,0.197823544,24,1976,2000,95,-3437510.446,-0.702133254,-0.596813266,1196894.191,0.249463969,0.21618877,20.81589629,2000.112254,2020.92815
RGI60-17.15856,92,-5906944.991,-0.596723348,-0.507214846,2710846.302,0.27709636,0.238237617,24,1976,2000,96,-4180153.568,-0.443299283,-0.376804391,1666257.562,0.179462958,0.154845003,20.81589629,2000.112254,2020.92815
RGI60-17.15857,62,-3783186.551,-0.218432703,-0.185667798,6420415.272,0.37134334,0.315913812,24,1976,2000,95,-14752141.74,-0.421558651,-0.358324854,3386451.905,0.101258687,0.089709459,20.81589629,2000.112254,2020.92815
RGI60-17.15859,69,-303690398.3,-1.087744008,-0.924582407,16804704.04,0.097668133,0.105600413,24,1976,2000,94,-176193576.2,-0.631783945,-0.537016353,9419538.523,0.05600683,0.060854385,20.81589629,2000.112254,2020.92815
RGI60-17.15864,75,24501668.53,0.997305681,0.847709829,4527191.571,0.197305854,0.178065334,24,1976,2000,96,-10615291.85,-0.421181184,-0.358004006,1574338.592,0.06920127,0.064019812,20.81589629,2000.112254,2020.92815
RGI60-17.15869,84,226839.0784,0.038392482,0.03263361,1378038.737,0.233248663,0.198274745,24,1976,2000,96,-3721037.204,-0.621315338,-0.528118037,451193.1894,0.087211735,0.082975726,20.81589629,2000.112254,2020.92815
RGI60-17.15875,82,-4493548.964,-0.402503083,-0.342127621,2528608.116,0.228278642,0.195533959,24,1976,2000,96,-18383416.86,-1.709637115,-1.453191547,959829.3086,0.150299551,0.163839968,20.81589629,2000.112254,2020.92815
RGI60-17.15877,88,-128780133.4,-1.7328536,-1.47292556,7278839.911,0.156865687,0.169081218,24,1976,2000,95,-131764464,-1.766963934,-1.501919344,3752049.015,0.13469577,0.15603866,20.81589629,2000.112254,2020.92815
